home_id;home_score;home_elo;away_id;away_score;away_elo;elo_dif;goal_dif
37;5;1980.94213867;38;0;1619.29907227;361.6430664000002;5
1730;0;1697.6418457;47;1;1618.51574707;79.12609862999989;-1
44;4;1792.51525879;134;0;1816.05371094;-23.538452150000012;4
1147;2;1504.89221191;110;2;1642.80969238;-137.91748046999987;0
36;2;1819.8145752;1211;1;1672.44482422;147.36975097999994;1
219;0;1679.60498047;3429;1;1540.74987793;138.8551025400002;-1
42;0;1655.8470459;39;3;1718.25317383;-62.40612792999991;-3
41;1;1629.87646484;282;3;1653.79272461;-23.916259770000124;-2
33;2;1822.76147461;45;1;1668.46154785;154.29992676000006;1
47;1;1627.9888916;42;1;1640.1171875;-12.128295900000012;0
45;1;1663.32055664;1730;1;1684.05773926;-20.737182620000112;0
282;1;1664.51623535;33;1;1824.04748535;-159.53125;0
38;3;1615.05322266;41;2;1615.29797363;-0.2447509699998136;1
110;0;1638.67810059;36;1;1814.88952637;-176.21142578000013;-1
1211;1;1667.20690918;37;2;1981.33312988;-314.1262207;-1
39;1;1729.87219238;1147;1;1505.16882324;224.70336913999995;0
134;1;1800.02819824;219;2;1664.69775391;135.33044432999986;-1
3429;0;1551.80212402;44;4;1805.42712402;-253.625;-4
33;3;1826.93566895;39;0;1729.08166504;97.85400391000007;3
1730;0;1691.14074707;3429;1;1551.00463867;140.1361084;-1
37;3;1989.93151855;36;0;1842.91052246;147.02099608999993;3
1147;0;1517.9576416;1211;0;1670.90112305;-152.94348145000004;0
282;2;1673.62634277;38;1;1627.83776855;45.7885742200001;1
219;3;1683.51098633;110;0;1639.88964844;43.62133788999995;3
41;1;1614.80615234;45;4;1668.53039551;-53.724243170000136;-3
44;3;1819.37194824;47;1;1633.14599609;186.22595215;2
42;2;1647.76489258;134;1;1793.50769043;-145.74279785;1
134;0;1783.24133301;38;3;1622.1595459;161.08178711000005;-3
37;2;1996.05615234;1730;1;1678.203125;317.8530273399999;1
45;6;1682.10583496;282;2;1679.3046875;2.8011474600000383;4
110;2;1630.24389648;44;4;1823.47265625;-193.2287597699999;-2
47;2;1629.04516602;41;1;1601.23071289;27.814453129999947;1
3429;0;1563.94238281;33;0;1834.87255859;-270.9301757799999;0
36;0;1836.78588867;1147;1;1520.74035645;316.04553222000004;-1
1211;1;1668.1184082;42;3;1658.03125;10.087158199999976;-2
39;2;1721.73376465;219;1;1693.15686035;28.576904300000024;1
219;3;1689.56982422;1211;1;1657.40490723;32.164916990000165;2
1147;0;1541.48864746;37;3;2007.05859375;-465.56994628999996;-3
282;1;1670.86706543;134;0;1759.42797852;-88.56091308999999;1
38;0;1650.04602051;45;0;1700.1138916;-50.067871089999926;0
42;0;1675.94067383;3429;1;1574.25402832;101.68664550999983;-1
33;2;1839.11486816;47;0;1639.80639648;199.3084716799999;2
1730;2;1676.33337402;110;0;1628.59436035;47.73901367000008;2
44;3;1838.12866211;36;0;1828.34875488;9.779907230000163;3
41;0;1600.03991699;39;1;1741.26599121;-141.2260742200001;-1
37;5;2008.9140625;33;1;1842.89489746;166.01916503999996;4
1147;2;1539.63305664;42;1;1664.10522461;-124.4721679700001;1
47;2;1636.02636719;282;0;1679.98205566;-43.95568847000004;2
3429;0;1586.08947754;38;1;1649.93713379;-63.84765625;-1
134;4;1750.31298828;1730;2;1684.07043457;66.24255370999981;2
110;1;1620.8572998;41;3;1594.3302002;26.52709959999993;-2
1211;1;1651.60449219;44;1;1849.09521484;-197.49072264999995;0
36;1;1817.38208008;219;0;1700.11950684;117.26257323999994;1
39;2;1746.97583008;45;0;1700.22277832;46.753051759999835;2
282;1;1668.78625488;3429;1;1578.26062012;90.52563475999978;0
1730;1;1676.80871582;1211;3;1655.50146484;21.307250980000163;-2
38;0;1657.76599121;39;1;1754.65332031;-96.88732909999999;-1
219;0;1696.07763672;37;3;2015.17321777;-319.09558104999996;-3
41;1;1608.44628906;134;3;1757.57470703;-149.12841796999987;-2
42;0;1654.09143066;36;3;1821.4239502;-167.33251954000002;-3
33;1;1836.63586426;110;1;1606.74108887;229.89477538999995;0
44;2;1845.19824219;1147;2;1549.64697266;295.5512695299999;0
45;1;1692.54528809;47;1;1647.22229004;45.322998050000024;0
1147;2;1552.23535156;219;3;1686.75512695;-134.51977538999995;-1
134;2;1744.71875;33;0;1810.42944336;-65.71069336000005;2
110;1;1600.66186523;42;0;1632.34619141;-31.68432617999997;1
47;3;1637.10412598;38;0;1637.92285156;-0.8187255800000912;3
1211;2;1656.68469238;41;2;1587.81677246;68.86791991999985;0
3429;2;1569.43469238;45;0;1677.0177002;-107.58300782000015;2
37;5;2008.17993164;44;1;1818.92138672;189.25854491999985;4
36;1;1815.6940918;1730;1;1629.5012207;186.19287110000005;0
39;0;1751.98840332;282;3;1651.96630859;100.02209473000016;-3
219;0;1684.85803223;44;2;1813.23583984;-128.37780761;-2
1730;0;1635.39880371;1147;2;1538.52148438;96.87731933000009;-2
45;1;1663.32910156;134;5;1756.6394043;-93.31030274;-4
38;0;1625.9597168;36;0;1809.79663086;-183.83691406000003;0
